length,width,contrast,dissimilarity,homogenity,energy,correlation,ASM,R,G,B,H,S,V,grey,l,A,V,roundness,solidity,sf1,sf2,sf3,Area,category
1.023681087,0.29600417,127.9735786,5.366839683,0.3794666,0.123489114,0.900299156,0.015453109,147,116,122,117,67,150,128.1808781,134,143,122,1.865264882,0.000136379,4.972608432,1.437862679,0.865462495,0.205864005,121
1.035822423,0.264867855,124.7290652,5.096245868,0.43718553,0.175278613,0.90155589,0.031004041,147,116,122,119,68,150,128.0186847,133,143,122,2.014214403,0.000141431,5.481955281,1.40177863,0.877335293,0.188951272,121
0.924996777,0.291055012,144.773817,5.670828694,0.41487555,0.164500422,0.891930924,0.027374472,144,115,121,120,63,147,126.3568419,132,143,121,1.689101401,0.000144285,4.755854774,1.496454264,0.920294181,0.19449643,121
1.011368595,0.271342794,133.2891578,5.427922239,0.41727111,0.151556164,0.888910376,0.023375828,146,116,122,118,67,150,128.0039913,134,143,122,1.962603724,0.000137501,5.201787781,1.3956016,0.902525374,0.194427116,121
1.041538852,0.301544433,144.7116684,5.723860178,0.412196197,0.141553231,0.889787067,0.020299974,144,113,122,113,70,148,125.0701594,131,143,122,1.76864432,0.00014193,4.598005208,1.331206098,0.918775847,0.22651972,121
0.950654871,0.25926951,130.8904565,5.190091281,0.427201741,0.165719706,0.895334694,0.027739497,144,116,120,121,65,149,127.5055871,133,143,120,1.937494449,0.000138799,5.584323218,1.522997241,0.879849413,0.170236362,121
1.037078041,0.308654179,134.3417571,5.565181662,0.396611872,0.133445297,0.894603047,0.018067002,144,113,124,111,72,148,124.8455592,130,143,124,1.746613605,0.000141131,4.348132781,1.294087137,0.949194874,0.238511125,121
1.049424208,0.296308012,144.2851535,5.807296525,0.401657418,0.145820845,0.893036268,0.021525713,144,113,123,114,71,147,124.8408846,130,143,123,1.920066507,0.000140253,4.614459937,1.302906335,0.931678491,0.227420808,121
1.069693768,0.309502158,150.212081,6.012137599,0.390289844,0.123030305,0.887294175,0.015511319,145,113,125,113,73,147,124.7222222,130,143,125,1.781770123,0.00014441,4.381735374,1.267798875,0.939335024,0.244125598,121
1.07269789,0.26406136,160.7776312,5.82506012,0.426201318,0.156474243,0.88264686,0.024789118,145,115,122,118,69,149,126.7064006,132,143,122,1.997553563,0.000140635,5.519191319,1.358635249,0.874077697,0.194357801,121
1.049424208,0.271615677,139.0993807,5.672510582,0.398851233,0.12246468,0.882886172,0.015297369,144,115,122,115,67,148,126.1531823,132,143,122,1.89649292,0.000144576,4.865052395,1.259190032,0.964024315,0.215706661,121
0.993718195,0.286617874,138.1356746,5.736508973,0.387567792,0.124484043,0.894614725,0.015770978,143,114,122,115,69,148,125.3608414,131,143,122,1.846964339,0.000140358,4.772427563,1.376510008,0.93129598,0.208220697,121
1.039375333,0.299625634,63.82097941,3.892126562,0.444226074,0.171837507,0.934826172,0.029791968,146,116,122,114,66,150,127.7912621,133,143,122,1.84563127,0.000137159,5.021791002,1.447655401,0.846628224,0.206973037,121
1.003675985,0.266582221,112.5769024,5.047293688,0.415071323,0.140366878,0.907219284,0.019921235,144,114,122,121,68,148,125.8505933,131,143,122,1.96618727,0.000150743,5.218030065,1.385939351,0.915783015,0.192347681,121
0.975347205,0.296308012,129.1188028,5.390110577,0.378630229,0.114254449,0.893985038,0.013296931,142,113,122,115,70,148,124.6368213,130,143,122,1.80069136,0.000139006,4.776420275,1.451064387,0.900086848,0.204200457,121
1.135847378,0.283961845,155.0824633,5.984066518,0.396794273,0.139494195,0.886367301,0.019725041,144,114,123,114,70,148,125.6559829,131,143,123,2.098764889,0.000258487,5.15148385,1.287870962,0.870839284,0.22048936,121
1.076372295,0.254517199,152.668721,5.861500099,0.40838116,0.156068618,0.89447424,0.024649215,142,114,120,119,65,148,125.6260338,131,143,120,2.19183236,0.000137495,5.567882073,1.316572113,0.898924424,0.193318084,121
1.001824418,0.292432503,121.9090094,5.219781315,0.393067019,0.125259588,0.893000015,0.015917527,143,114,122,113,69,149,125.6209046,131,143,122,1.817169747,0.000140032,4.669893658,1.363141751,0.932819704,0.214528315,121
1.024731874,0.283961845,125.6373996,5.424506939,0.403678885,0.142143285,0.901231957,0.02046682,144,114,122,116,70,148,125.9953254,132,143,122,1.975823583,0.00014351,4.929578775,1.366027853,0.91004013,0.207874125,121
1.025110627,0.299226794,135.8298735,5.477857886,0.412374241,0.152820754,0.903836336,0.023661015,143,113,123,115,70,147,124.7657318,130,143,123,1.848087132,0.000137291,4.80483139,1.402516232,0.8860367,0.213349969,121
1.064869728,0.319263507,91.06444827,4.799278574,0.399328815,0.13076085,0.915903305,0.017318287,151,121,123,112,66,154,132.4455232,138,143,123,1.816255786,0.000141322,4.503921301,1.350341429,0.885911359,0.236431691,121
